Station,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Comilla,1948,5,0,26,11,20,0,0,13,10,3,2,0,0,0,0,3,0,0,0,8,0,5,31,0,0,5,27,76,0,0,0,0
Comilla,1948,6,0,0,0,8,46,0,0,0,0,0,0,1,16,7,6,0,41,155,105,11,45,71,65,5,0,2,18,12,5,0,
Comilla,1948,7,4,37,48,4,5,0,16,0,70,6,65,53,134,205,59,18,9,30,4,6,55,0,0,26,3,0,103,50,17,0,18
Comilla,1948,8,57,37,57,4,0,22,0,3,17,0,10,2,64,0,0,0,11,0,0,17,28,3,5,0,0,7,0,3,0,0,0
Comilla,1948,9,0,35,0,2,0,0,8,4,54,16,48,0,8,16,0,0,0,0,0,7,2,40,0,96,0,44,0,0,5,3,
Comilla,1948,10,21,76,54,23,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,28,12,0,0,0,0,0,0,0,0,0
Comilla,1948,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,
Comilla,1948,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox's Bazar,1948,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox's Bazar,1948,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cox's Bazar,1948,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox's Bazar,1948,4,0,0,0,0,0,0,6,0,21,0,0,0,0,0,0,0,0,0,10,36,5,64,0,32,0,12,0,0,2,12,
Cox's Bazar,1948,5,1,7,0,***,0,4,89,20,2,0,0,1,10,8,0,0,0,52,28,61,0,51,8,0,20,32,4,25,0,0,1
Cox's Bazar,1948,6,0,0,0,5,33,0,2,0,0,0,0,3,5,15,156,67,45,11,13,1,3,0,24,23,63,60,142,68,69,19,
Cox's Bazar,1948,7,22,2,2,1,0,1,2,0,9,25,52,33,34,99,18,14,8,21,56,178,118,101,5,29,41,4,3,19,37,28,7
Cox's Bazar,1948,8,93,77,143,16,33,19,2,0,1,1,4,0,0,8,45,51,125,258,0,1,0,0,0,0,16,0,9,18,14,15,9
Cox's Bazar,1948,9,6,6,24,2,0,13,2,1,6,23,57,24,17,46,3,0,0,2,0,3,0,1,0,0,8,0,9,3,0,18,
Cox's Bazar,1948,10,80,4,25,3,0,0,2,2,0,21,23,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox's Bazar,1948,11,0,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,
Cox's Bazar,1948,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinajpur,1948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinajpur,1948,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dinajpur,1948,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinajpur,1948,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,13,0,0,0,0,0,0,0,10,15,
Dinajpur,1948,5,3,0,0,0,0,0,0,7,0,5,8,6,0,0,20,0,0,0,46,0,63,0,6,0,0,30,50,0,0,0,0
Dinajpur,1948,6,0,0,0,0,10,1,0,0,0,0,9,101,25,34,50,0,0,0,15,3,0,14,0,0,0,0,10,13,0,0,
Dinajpur,1948,7,0,3,13,4,106,36,0,0,11,12,2,21,61,12,31,16,4,18,0,0,6,8,6,0,0,23,0,12,11,24,2
Dinajpur,1948,8,82,76,81,13,13,0,2,5,7,0,40,1,0,0,0,3,0,0,0,12,0,0,0,8,0,16,0,0,0,0,3
Dinajpur,1948,9,0,0,2,0,0,0,0,0,23,13,34,24,36,0,0,0,0,0,0,0,0,0,0,0,12,22,0,12,3,50,
Dinajpur,1948,10,0,15,89,27,61,0,0,0,0,0,9,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinajpur,1948,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,12,
Dinajpur,1948,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faridpur,1948,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Faridpur,1948,2,0,0,0,11,1,49,1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Faridpur,1948,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,2,0,0,0,0,0,0,0,12,0,9,0
Faridpur,1948,4,0,0,0,0,2,2,11,0,9,0,0,0,0,0,0,25,1,4,4,1,99,66,0,4,0,5,0,0,0,12,
Faridpur,1948,5,1,16,12,102,0,11,4,0,0,0,0,3,0,3,59,0,30,0,0,0,0,41,1,0,0,39,0,2,0,0,0
Faridpur,1948,6,0,8,0,0,0,0,0,0,0,0,0,18,0,11,0,170,0,43,64,14,0,10,0,0,0,4,42,9,6,3,
Faridpur,1948,7,2,0,1,0,0,0,3,4,12,1,8,22,51,45,8,79,4,2,16,7,31,3,0,0,0,1,1,5,48,4,1
Faridpur,1948,8,2,2,108,0,0,140,1,0,0,1,3,0,0,0,13,23,1,3,2,5,9,3,0,2,2,3,57,18,0,3,9
Faridpur,1948,9,2,22,1,1,11,0,3,1,0,0,1,6,8,12,0,0,0,0,0,4,0,0,0,3,1,0,0,24,3,5,
Faridpur,1948,10,117,119,61,1,16,0,0,0,0,1,72,89,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Faridpur,1948,11,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,17,0,
Faridpur,1948,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessore,1948,1,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Jessore,1948,2,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,
Jessore,1948,3,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Jessore,1948,4,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,
Jessore,1948,5,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Jessore,1948,6,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,
Jessore,1948,7,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Jessore,1948,8,8,24,20,21,17,48,17,1,7,0,8,0,2,11,6,0,1,88,0,0,23,3,0,14,3,6,7,2,39,0,3
Jessore,1948,9,0,8,26,0,4,0,0,0,0,21,6,7,5,11,0,0,0,0,0,0,3,2,4,0,0,4,1,2,8,3,
Jessore,1948,10,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Jessore,1948,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jessore,1948,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,1948,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,1948,2,0,0,0,0,14,46,50,0,0,0,0,0,3,***,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Khulna,1948,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,33,0,0,0,33,0,0,0,33,0,0,0,33,0,12,0
Khulna,1948,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,23,32,45,0,0,1,0,2,0,0,0,14,
Khulna,1948,5,0,0,4,16,0,2,10,20,0,0,0,0,4,0,17,0,0,0,0,0,***,***,***,***,0,1,0,8,0,0,0
Khulna,1948,6,0,0,4,0,0,0,0,0,0,0,0,0,2,7,0,0,0,17,***,0,0,0,0,0,0,0,38,0,0,0,
Khulna,1948,7,0,0,11,4,0,0,0,8,15,0,0,23,17,73,0,56,0,0,0,22,16,26,0,0,0,0,0,0,18,10,18
Khulna,1948,8,0,0,0,17,0,21,0,0,0,0,0,0,0,22,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,1948,9,0,25,33,0,0,0,25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,17,
Khulna,1948,10,13,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,1948,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Khulna,1948,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mymensingh,1948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mymensingh,1948,2,0,0,0,3,6,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mymensingh,1948,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
Mymensingh,1948,4,0,0,38,0,3,22,11,0,0,0,6,7,0,0,0,0,0,0,13,0,5,2,0,4,7,0,0,0,0,58,
Mymensingh,1948,5,35,14,9,0,0,0,0,4,3,6,9,0,0,55,0,40,10,0,0,27,50,83,42,15,88,19,6,7,10,5,0
Mymensingh,1948,6,27,0,13,2,0,0,4,0,0,9,0,32,11,109,11,0,15,48,29,0,0,9,0,0,13,5,3,7,7,0,
Mymensingh,1948,7,0,0,0,7,0,0,1,0,0,2,16,16,189,56,25,8,0,0,7,0,0,7,0,0,41,8,55,16,22,9,28
Mymensingh,1948,8,51,30,48,32,5,116,11,0,7,4,0,0,0,7,7,11,0,0,0,13,1,0,2,7,2,3,1,6,***,***,9
Mymensingh,1948,9,0,8,11,0,16,21,6,48,47,0,20,20,7,40,2,0,0,0,0,2,0,0,0,13,46,7,0,47,0,71,
Mymensingh,1948,10,98,38,54,55,0,0,0,0,0,0,12,23,0,0,44,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
Mymensingh,1948,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,
Mymensingh,1948,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Satkhira,1948,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Satkhira,1948,2,0,0,0,16,17,89,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Satkhira,1948,3,0,0,0,0,0,0,0,0,0,0,0,0,3,14,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Satkhira,1948,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,11,5,0,0,0,15,0,10,0,0,0,12,
Satkhira,1948,5,0,1,16,10,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,38,9,10,0,0,0,5,0,0,0
Satkhira,1948,6,0,0,0,0,17,0,0,0,0,0,0,0,0,31,7,0,7,24,19,42,0,29,3,5,6,12,18,1,3,10,
Satkhira,1948,7,4,2,11,0,28,0,0,18,6,0,6,7,7,27,5,38,30,3,0,20,26,25,6,6,10,0,16,11,23,27,1
Satkhira,1948,8,31,19,5,38,55,21,19,0,0,3,2,11,0,19,9,8,0,18,2,7,8,8,10,9,11,10,3,5,0,28,25
Satkhira,1948,9,0,6,41,0,3,18,2,1,0,5,8,2,1,0,0,0,0,0,1,0,0,0,0,0,11,0,0,1,10,7,
Satkhira,1948,10,55,20,39,14,2,0,0,0,0,0,171,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Satkhira,1948,11,0,4,1,37,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,3,
Satkhira,1948,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Srimangal,1948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Srimangal,1948,2,0,0,0,1,1,15,18,0,0,0,0,0,86,2,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
Srimangal,1948,3,0,0,0,0,0,0,0,0,0,9,1,0,0,1,1,2,0,0,0,24,6,0,0,0,0,0,0,0,0,7,0
Srimangal,1948,4,0,0,0,0,1,11,16,20,0,0,0,1,1,0,28,***,0,0,86,0,7,31,89,0,94,4,0,0,0,53,
Srimangal,1948,5,26,37,26,11,0,21,29,27,49,32,2,0,8,3,0,0,0,0,28,21,42,39,8,3,88,6,22,58,1,35,44
Srimangal,1948,6,16,3,16,12,32,16,6,10,11,0,5,11,3,21,53,2,7,87,164,10,9,10,5,2,6,0,7,13,12,31,
Srimangal,1948,7,1,6,2,0,1,17,30,6,4,4,7,0,17,21,2,7,3,2,14,13,11,4,0,8,7,15,31,1,3,26,1
Srimangal,1948,8,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Srimangal,1948,9,2,10,3,17,24,15,0,1,9,11,9,5,7,0,5,20,0,0,0,1,9,0,11,32,7,11,1,46,11,37,
Srimangal,1948,10,5,1,17,11,0,0,0,0,0,4,1,6,0,0,20,19,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Srimangal,1948,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,3,
Srimangal,1948,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Barisal,1949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,1949,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Barisal,1949,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Barisal,1949,4,0,0,0,0,0,4,0,9,0,0,0,0,0,0,9,3,0,0,0,0,7,23,0,0,7,17,25,14,0,22,
Barisal,1949,5,41,0,0,31,48,11,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,21,11,28,0,0,5,0,0
Barisal,1949,6,56,0,1,0,0,0,16,0,2,85,60,39,10,24,0,0,0,0,0,75,0,0,11,53,53,0,0,5,3,19,
Barisal,1949,7,43,1,7,13,15,7,16,18,0,0,35,8,0,3,3,17,16,26,99,22,19,83,50,17,5,0,35,0,6,0,11
Barisal,1949,8,5,13,18,19,5,22,59,1,17,8,0,3,3,22,10,6,20,0,1,3,1,0,0,0,19,51,3,3,37,0,0
Barisal,1949,9,5,0,9,0,31,0,9,0,9,6,0,0,0,0,33,22,0,0,0,0,0,0,0,0,0,4,0,18,42,64,
Barisal,1949,10,0,1,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,19,0,0,56
Barisal,1949,11,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barisal,1949,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogra,1949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogra,1949,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Bogra,1949,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogra,1949,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,18,8,7,0,0,8,31,8,6,49,9,
Bogra,1949,5,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Bogra,1949,6,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,
Bogra,1949,7,0,0,0,5,3,2,3,5,32,0,0,8,3,0,1,12,4,0,56,5,57,9,21,21,1,29,5,1,0,3,0
Bogra,1949,8,95,1,0,17,0,1,0,21,0,1,1,1,0,10,29,11,8,0,6,9,0,8,14,1,45,0,8,0,1,0,0
Bogra,1949,9,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,
Bogra,1949,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
Bogra,1949,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bogra,1949,12,0,0,0,0,0,0,0,0,0,0,0,***,***,***,***,***,***,***,***,***,***,***,0,0,0,0,0,0,0,0,0
Chittagong,1949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong,1949,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Chittagong,1949,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,22,0,0,0,0,0,0,0,0,0
Chittagong,1949,4,0,0,0,1,3,0,0,0,0,8,0,0,0,0,63,86,12,1,8,0,0,21,0,0,0,0,0,28,33,3,
Chittagong,1949,5,70,0,13,5,21,40,0,0,0,0,0,0,6,1,5,0,0,0,0,0,0,0,52,0,0,0,5,1,14,7,0
Chittagong,1949,6,0,8,6,0,98,5,7,0,1,31,0,86,6,42,2,8,0,0,0,0,0,138,52,1,8,0,6,38,25,56,
Chittagong,1949,7,64,23,25,7,7,2,0,9,18,0,14,2,3,2,4,1,34,42,143,87,279,65,12,0,1,0,0,0,11,1,***
Chittagong,1949,8,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,52,5,25,45,5,1,0,6,0,0
Chittagong,1949,9,3,31,20,2,0,0,0,0,2,32,9,14,0,2,7,17,0,1,0,0,1,12,0,80,4,2,7,96,172,63,
Chittagong,1949,10,11,0,0,0,0,0,0,0,0,0,0,0,20,0,20,1,0,1,0,44,0,0,0,0,0,0,0,6,0,0,1
Chittagong,1949,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chittagong,1949,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comilla,1949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comilla,1949,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Comilla,1949,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0
Comilla,1949,4,0,0,0,0,0,29,0,61,0,0,0,0,0,2,29,16,6,3,4,0,73,35,0,0,72,46,24,15,20,59,
Comilla,1949,5,16,0,32,58,118,36,0,9,0,0,0,0,114,6,98,0,0,3,0,0,36,0,86,0,22,0,0,0,0,31,0
Comilla,1949,6,6,0,32,0,73,0,50,0,3,96,64,74,0,53,4,0,4,0,0,0,0,0,223,3,0,0,0,57,59,83,
Comilla,1949,7,26,0,39,4,35,0,10,6,8,0,22,0,5,18,27,0,48,14,53,86,69,148,5,3,7,3,0,0,14,83,14
Comilla,1949,8,127,0,71,128,12,8,36,7,0,4,0,11,0,23,5,6,0,13,22,56,5,10,0,0,112,0,0,5,0,0,0
Comilla,1949,9,84,4,19,5,0,0,0,0,17,0,0,9,16,7,0,22,0,0,0,0,10,0,0,0,14,3,0,53,20,11,
Comilla,1949,10,0,0,0,0,0,0,0,0,23,0,0,0,84,0,3,3,4,20,0,0,0,0,0,0,0,0,0,7,4,0,0
Comilla,1949,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Comilla,1949,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox's Bazar,1949,1,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Cox's Bazar,1949,2,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,
Cox's Bazar,1949,3,***,***,***,***,***,***,***,*** *,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0,0,0
Cox's Bazar,1949,4,0,0,0,0,0,8,0,0,19,0,0,0,0,0,0,45,12,0,18,0,0,12,0,0,0,0,0,39,25,6,
Cox's Bazar,1949,5,83,39,46,25,33,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,28,0,0,3,6,56,22,13
Cox's Bazar,1949,6,0,0,34,5,182,10,0,3,24,37,59,109,61,0,25,6,0,0,0,0,0,88,112,10,10,11,30,3,80,105,
Cox's Bazar,1949,7,104,59,28,52,33,25,39,12,18,6,14,0,4,0,3,10,32,11,83,59,197,23,16,19,8,0,0,2,13,0,0
Cox's Bazar,1949,8,16,0,15,127,64,27,57,3,20,14,0,3,19,80,70,74,20,87,6,7,0,8,2,26,26,22,22,0,0,0,11
Cox's Bazar,1949,9,21,55,33,6,0,0,0,0,0,17,12,62,0,1,16,33,11,11,3,2,0,18,70,13,0,0,112,86,18,69,
Cox's Bazar,1949,10,0,0,0,0,0,0,21,21,1,2,24,13,30,0,0,0,0,0,5,15,21,0,0,0,0,0,0,7,1,0,0
Cox's Bazar,1949,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cox's Bazar,1949,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinajpur,1949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinajpur,1949,2,0,0,0,0,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,,,
Dinajpur,1949,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Dinajpur,1949,4,0,0,0,7,0,0,0,0,0,0,0,17,0,43,0,0,0,3,0,18,11,0,0,0,0,0,0,0,6,6,
Dinajpur,1949,5,1,0,17,8,2,0,0,0,0,0,0,0,19,0,0,0,25,61,6,23,5,0,61,31,0,50,40,93,0,8,0
Dinajpur,1949,6,0,0,0,0,0,0,0,0,0,0,22,56,16,13,0,0,0,0,0,30,101,19,79,43,48,28,51,35,29,16,
Dinajpur,1949,7,27,9,11,0,6,1,19,19,2,22,5,11,5,0,0,0,4,71,21,16,3,3,6,0,0,5,0,11,11,2,6
Dinajpur,1949,8,0,0,0,0,5,6,0,28,31,0,20,0,0,84,53,0,0,0,25,12,7,6,0,0,3,0,0,0,0,0,11
Dinajpur,1949,9,0,2,47,35,3,0,2,0,0,0,0,23,18,0,26,73,7,2,0,0,0,0,0,0,0,14,6,30,37,5,
Dinajpur,1949,10,3,0,0,0,0,0,2,0,14,0,0,34,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,42,37
