Year,Station,Month,Rainfall,StationIndex
1970,Dhaka,7,496,9
1970,Dhaka,8,280,9
1970,Dhaka,9,200,9
1970,Dhaka,10,427,9
1970,Dhaka,11,32,9
1970,Dhaka,12,0,9
1970,Dinajpur,1,42,10
1970,Dinajpur,2,0,10
1970,Dinajpur,3,1,10
1970,Dinajpur,4,76,10
1970,Dinajpur,5,74,10
1970,Dinajpur,6,253,10
1970,Dinajpur,7,586,10
1970,Dinajpur,8,126,10
1970,Dinajpur,9,217,10
1970,Dinajpur,10,48,10
1970,Dinajpur,11,0,10
1970,Dinajpur,12,0,10
1970,Faridpur,1,12,11
1970,Faridpur,2,15,11
1970,Faridpur,3,25,11
1970,Faridpur,4,68,11
1970,Faridpur,5,173,11
1970,Faridpur,6,308,11
1970,Faridpur,7,382,11
1970,Faridpur,8,291,11
1970,Faridpur,9,433,11
1970,Faridpur,10,413,11
1970,Faridpur,11,32,11
1970,Faridpur,12,0,11
1970,Hatiya,1,0,13
1970,Hatiya,2,64,13
1970,Hatiya,3,6,13
1970,Hatiya,4,44,13
1970,Hatiya,5,131,13
1970,Hatiya,6,468,13
1970,Hatiya,7,584,13
1970,Hatiya,8,512,13
1970,Hatiya,9,521,13
1970,Hatiya,10,389,13
1970,Hatiya,11,0,13
1970,Hatiya,12,0,13
1970,Ishurdi,1,73,14
1970,Ishurdi,2,25,14
1970,Ishurdi,3,30,14
1970,Ishurdi,4,1,14
1970,Ishurdi,5,116,14
1970,Ishurdi,6,236,14
1970,Ishurdi,7,168,14
1970,Ishurdi,8,378,14
1970,Ishurdi,9,340,14
1970,Ishurdi,10,364,14
1970,Ishurdi,11,0,14
1970,Ishurdi,12,0,14
1970,Jessore,1,31,15
1970,Jessore,2,30,15
1970,Jessore,3,45,15
1970,Jessore,4,87,15
1970,Jessore,5,29,15
1970,Jessore,6,352,15
1970,Jessore,7,415,15
1970,Jessore,8,280,15
1970,Jessore,9,490,15
1970,Jessore,10,339,15
1970,Jessore,11,10,15
1970,Jessore,12,0,15
1970,Khulna,1,0,17
1970,Khulna,2,0,17
1970,Khulna,3,0,17
1970,Khulna,4,51,17
1970,Khulna,5,129,17
1970,Khulna,6,548,17
1970,Khulna,7,634,17
1970,Khulna,8,270,17
1970,Khulna,9,115,17
1970,Khulna,10,190,17
1970,Khulna,11,13,17
1970,Khulna,12,0,17
1970,M.court,1,16,19
1970,M.court,2,65,19
1970,M.court,3,5,19
1970,M.court,4,217,19
1970,M.court,5,127,19
1970,M.court,6,574,19
1970,M.court,7,692,19
1970,M.court,8,696,19
1970,M.court,9,554,19
1970,M.court,10,569,19
1970,M.court,11,151,19
1970,M.court,12,0,19
1970,Mymensingh,1,23,22
1970,Mymensingh,2,0,22
1970,Mymensingh,3,6,22
1970,Mymensingh,4,117,22
1970,Mymensingh,5,176,22
1970,Mymensingh,6,570,22
1970,Mymensingh,7,323,22
1970,Mymensingh,8,207,22
1970,Mymensingh,9,242,22
1970,Mymensingh,10,274,22
1970,Mymensingh,11,8,22
1970,Mymensingh,12,0,22
1970,Rangamati,1,6,25
1970,Rangamati,2,54,25
1970,Rangamati,3,15,25
1970,Rangamati,4,38,25
1970,Rangamati,5,111,25
1970,Rangamati,6,274,25
1970,Rangamati,7,1276,25
1970,Rangamati,8,326,25
1970,Rangamati,9,200,25
1970,Rangamati,10,155,25
1970,Rangamati,11,109,25
1970,Rangamati,12,0,25
1970,Rangpur,1,29,26
1970,Rangpur,2,6,26
1970,Rangpur,3,5,26
1970,Rangpur,4,39,26
1970,Rangpur,5,162,26
1970,Rangpur,6,527,26
1970,Rangpur,7,503,26
1970,Rangpur,8,440,26
1970,Rangpur,9,242,26
1970,Rangpur,10,39,26
1970,Rangpur,11,5,26
1970,Rangpur,12,0,26
1970,Sandwip,1,0,27
1970,Sandwip,2,27,27
1970,Sandwip,3,57,27
1970,Sandwip,4,231,27
1970,Sandwip,5,150,27
1970,Sandwip,6,327,27
1970,Sandwip,7,812,27
1970,Sandwip,8,597,27
1970,Sandwip,9,282,27
1970,Sandwip,10,428,27
1970,Sandwip,11,148,27
1970,Sandwip,12,0,27
1970,Satkhira,1,0,28
1970,Satkhira,2,47,28
1970,Satkhira,3,22,28
1970,Satkhira,4,4,28
1970,Satkhira,5,59,28
1970,Satkhira,6,296,28
1970,Satkhira,7,356,28
1970,Satkhira,8,274,28
1970,Satkhira,9,377,28
1970,Satkhira,10,0,28
1970,Satkhira,11,9,28
1970,Satkhira,12,0,28
1970,Srimangal,1,36,30
1970,Srimangal,2,6,30
1970,Srimangal,3,97,30
1970,Srimangal,4,79,30
1970,Srimangal,5,79,30
1970,Srimangal,6,418,30
1970,Srimangal,7,657,30
1970,Srimangal,8,267,30
1970,Srimangal,9,420,30
1970,Srimangal,10,213,30
1970,Srimangal,11,31,30
1970,Srimangal,12,0,30
1970,Sylhet,1,62,31
1970,Sylhet,2,65,31
1970,Sylhet,3,60,31
1970,Sylhet,4,466,31
1970,Sylhet,5,851,31
1970,Sylhet,6,955,31
1970,Sylhet,7,1076,31
1970,Sylhet,8,662,31
1970,Sylhet,9,622,31
1970,Sylhet,10,608,31
1970,Sylhet,11,47,31
1970,Sylhet,12,0,31
1971,Barisal,1,7,2
1971,Barisal,2,1,2
1971,Barisal,3,0,2
1971,Barisal,4,104,2
1971,Barisal,5,267,2
1971,Barisal,6,503,2
1971,Barisal,7,250,2
1971,Barisal,8,233,2
1971,Barisal,9,394,2
1971,Barisal,10,152,2
1971,Barisal,11,114,2
1971,Barisal,12,0,2
1971,Bhola,1,0,3
1971,Bhola,2,0,3
1971,Bhola,3,0,3
1971,Bhola,4,0,3
1971,Bhola,5,247,3
1971,Bhola,6,584,3
1971,Bhola,7,409,3
1971,Bhola,8,381,3
1971,Bhola,9,409,3
1971,Bhola,10,107,3
1971,Bhola,11,1283,3
1971,Bhola,12,0,3
1971,Bogra,1,13,4
1971,Bogra,2,4,4
1971,Bogra,3,8,4
1971,Bogra,4,0,4
1971,Bogra,5,0,4
1971,Bogra,6,0,4
1971,Bogra,7,344,4
1971,Bogra,8,312,4
1971,Bogra,9,392,4
1971,Bogra,10,128,4
1971,Bogra,11,41,4
1971,Bogra,12,0,4
1971,Chittagong,1,10,6
1971,Chittagong,2,0,6
1971,Chittagong,3,0,6
1971,Chittagong,4,2,6
1971,Chittagong,5,63,6
1971,Chittagong,6,853,6
1971,Chittagong,7,949,6
1971,Chittagong,8,707,6
1971,Chittagong,9,184,6
1971,Chittagong,10,59,6
1971,Chittagong,11,0,6
1971,Chittagong,12,0,6
1971,Comilla,1,5,7
1971,Comilla,2,10,7
1971,Comilla,3,0,7
1971,Comilla,4,0,7
1971,Comilla,5,46,7
1971,Comilla,6,123,7
1971,Comilla,7,291,7
1971,Comilla,8,307,7
1971,Comilla,9,172,7
1971,Comilla,10,166,7
1971,Comilla,11,57,7
1971,Comilla,12,0,7
1971,CoxsBazar,1,4,8
1971,CoxsBazar,2,0,8
1971,CoxsBazar,3,1,8
1971,CoxsBazar,4,5,8
1971,CoxsBazar,5,155,8
1971,CoxsBazar,6,1179,8
1971,CoxsBazar,7,1518,8
1971,CoxsBazar,8,680,8
1971,CoxsBazar,9,112,8
1971,CoxsBazar,10,163,8
1971,CoxsBazar,11,91,8
1971,CoxsBazar,12,0,8
1971,Dhaka,1,3,9
1971,Dhaka,2,28,9
1971,Dhaka,3,0,9
1971,Dhaka,4,0,9
1971,Dhaka,5,344,9
1971,Dhaka,6,339,9
1971,Dhaka,7,550,9
1971,Dhaka,8,540,9
1971,Dhaka,9,259,9
1971,Dhaka,10,118,9
1971,Dhaka,11,95,9
1971,Dhaka,12,0,9
1971,Dinajpur,1,8,10
1971,Dinajpur,2,11,10
1971,Dinajpur,3,0,10
1971,Dinajpur,4,0,10
1971,Dinajpur,5,0,10
1971,Dinajpur,6,0,10
1971,Dinajpur,7,0,10
1971,Dinajpur,8,295,10
1971,Dinajpur,9,94,10
1971,Dinajpur,10,302,10
1971,Dinajpur,11,0,10
1971,Dinajpur,12,0,10
1971,Faridpur,1,12,11
1971,Faridpur,2,9,11
1971,Faridpur,3,0,11
1971,Faridpur,4,0,11
1971,Faridpur,5,0,11
1971,Faridpur,6,0,11
1971,Faridpur,7,278,11
1971,Faridpur,8,538,11
1971,Faridpur,9,292,11
1971,Faridpur,10,135,11
1971,Faridpur,11,66,11
1971,Faridpur,12,0,11
1971,Hatiya,1,0,13
1971,Hatiya,2,0,13
1971,Hatiya,3,0,13
1971,Hatiya,4,0,13
1971,Hatiya,4,0,13
1971,Hatiya,5,0,13
1971,Hatiya,6,436,13
1971,Hatiya,7,790,13
1971,Hatiya,8,989,13
1971,Hatiya,9,430,13
1971,Hatiya,10,0,13
1971,Hatiya,11,0,13
1971,Ishurdi,1,0,14
1971,Ishurdi,2,0,14
1971,Ishurdi,3,0,14
1971,Ishurdi,4,0,14
1971,Ishurdi,5,0,14
1971,Ishurdi,6,0,14
1971,Ishurdi,7,0,14
1971,Ishurdi,8,525,14
1971,Ishurdi,9,0,14
1971,Ishurdi,10,0,14
1971,Ishurdi,11,0,14
1971,Ishurdi,12,0,14
1971,Jessore,1,16,15
1971,Jessore,2,0,15
1971,Jessore,3,0,15
1971,Jessore,4,0,15
1971,Jessore,5,0,15
1971,Jessore,6,205,15
1971,Jessore,7,489,15
1971,Jessore,8,500,15
1971,Jessore,9,313,15
1971,Jessore,10,0,15
1971,Jessore,11,0,15
1971,Jessore,12,0,15
1971,Khulna,1,0,17
1971,Khulna,2,0,17
1971,Khulna,3,0,17
1971,Khulna,4,0,17
1971,Khulna,5,37,17
1971,Khulna,6,63,17
1971,Khulna,7,48,17
1971,Khulna,8,135,17
1971,Khulna,9,80,17
1971,Khulna,10,106,17
1971,Khulna,11,6,17
1971,Khulna,12,0,17
1971,M.court,1,0,19
1971,M.court,2,0,19
1971,M.court,3,0,19
1971,M.court,4,0,19
1971,M.court,5,282,19
1971,M.court,6,615,19
1971,M.court,7,793,19
1971,M.court,8,870,19
1971,M.court,9,425,19
1971,M.court,10,230,19
1971,M.court,11,172,19
1971,M.court,12,0,19
1971,Mymensingh,1,0,22
1971,Mymensingh,2,0,22
1971,Mymensingh,3,0,22
1971,Mymensingh,4,0,22
1971,Mymensingh,5,0,22
1971,Mymensingh,6,0,22
1971,Mymensingh,7,0,22
1971,Mymensingh,8,369,22
1971,Mymensingh,9,897,22
1971,Mymensingh,10,445,22
1971,Mymensingh,11,58,22
1971,Mymensingh,12,0,22
1971,Rajshahi,1,22,24
1971,Rajshahi,2,14,24
1971,Rajshahi,3,0,24
1971,Rajshahi,4,0,24
1971,Rajshahi,5,0,24
1971,Rajshahi,6,277,24
1971,Rajshahi,7,452,24
1971,Rajshahi,8,452,24
1971,Rajshahi,9,264,24
1971,Rajshahi,10,81,24
1971,Rajshahi,11,86,24
1971,Rajshahi,12,0,24
1971,Rangamati,1,5,25
1971,Rangamati,2,0,25
1971,Rangamati,3,0,25
1971,Rangamati,4,103,25
1971,Rangamati,5,133,25
1971,Rangamati,6,693,25
1971,Rangamati,7,399,25
1971,Rangamati,8,507,25
1971,Rangamati,9,164,25
1971,Rangamati,10,72,25
1971,Rangamati,11,41,25
1971,Rangamati,12,1,25
1971,Rangpur,1,12,26
1971,Rangpur,2,2,26
1971,Rangpur,3,0,26
1971,Rangpur,4,0,26
1971,Rangpur,5,0,26
1971,Rangpur,6,121,26
1971,Rangpur,7,298,26
1971,Rangpur,8,438,26
1971,Rangpur,9,403,26
1971,Rangpur,10,250,26
1971,Rangpur,11,49,26
1971,Rangpur,12,0,26
1971,Sandwip,1,4,27
1971,Sandwip,2,1,27
1971,Sandwip,3,0,27
1971,Sandwip,4,159,27
1971,Sandwip,5,263,27
1971,Sandwip,6,922,27
1971,Sandwip,7,780,27
1971,Sandwip,8,1113,27
1971,Sandwip,9,273,27
1971,Sandwip,10,260,27
1971,Sandwip,11,175,27
1971,Sandwip,12,0,27
1971,Satkhira,1,0,28
1971,Satkhira,2,0,28
1971,Satkhira,3,0,28
1971,Satkhira,4,0,28
1971,Satkhira,5,93,28
1971,Satkhira,6,401,28
1971,Satkhira,7,598,28
1971,Satkhira,8,0,28
1971,Satkhira,9,263,28
1971,Satkhira,10,198,28
1971,Satkhira,11,0,28
1971,Satkhira,12,0,28
1971,Srimangal,1,4,30
1971,Srimangal,2,0,30
1971,Srimangal,3,0,30
1971,Srimangal,4,0,30
1971,Srimangal,5,0,30
1971,Srimangal,6,0,30
1971,Srimangal,7,95,30
1971,Srimangal,8,212,30
1971,Srimangal,9,116,30
1971,Srimangal,10,249,30
1971,Srimangal,11,99,30
1971,Srimangal,12,0,30
1971,Sylhet,1,22,31
1971,Sylhet,2,7,31
1971,Sylhet,3,62,31
1971,Sylhet,4,0,31
1971,Sylhet,5,11,31
1971,Sylhet,6,710,31
1971,Sylhet,7,510,31
1971,Sylhet,8,571,31
1971,Sylhet,9,349,31
1971,Sylhet,10,259,31
1971,Sylhet,11,85,31
1971,Sylhet,12,0,31
1972,Barisal,1,0,2
1972,Barisal,2,58,2
1972,Barisal,3,0,2
1972,Barisal,4,121,2
1972,Barisal,5,130,2
1972,Barisal,6,262,2
1972,Barisal,7,248,2
1972,Barisal,8,458,2
1972,Barisal,9,90,2
1972,Barisal,10,29,2
1972,Barisal,11,0,2
1972,Barisal,12,0,2
1972,Bhola,1,0,3
1972,Bhola,2,13,3
1972,Bhola,3,0,3
1972,Bhola,4,59,3
1972,Bhola,5,64,3
1972,Bhola,6,512,3
1972,Bhola,7,242,3
1972,Bhola,8,586,3
1972,Bhola,9,42,3
1972,Bhola,10,167,3
1972,Bhola,11,0,3
1972,Bhola,12,0,3
1972,Bogra,1,3,4
1972,Bogra,2,16,4
1972,Bogra,3,14,4
1972,Bogra,4,6,4
1972,Bogra,5,134,4
1972,Bogra,6,268,4
1972,Bogra,7,307,4
1972,Bogra,8,261,4
1972,Bogra,9,137,4
1972,Bogra,10,101,4
1972,Bogra,11,0,4
1972,Bogra,12,0,4
1972,Chittagong,1,0,6
1972,Chittagong,2,2,6
1972,Chittagong,3,0,6
1972,Chittagong,4,87,6
1972,Chittagong,5,15,6
1972,Chittagong,6,457,6
1972,Chittagong,7,372,6
1972,Chittagong,8,565,6
1972,Chittagong,9,0,6
1972,Chittagong,10,88,6
1972,Chittagong,11,0,6
1972,Chittagong,12,0,6
1972,Comilla,1,0,7
1972,Comilla,2,0,7
1972,Comilla,3,15,7
1972,Comilla,4,117,7
1972,Comilla,5,252,7
1972,Comilla,6,369,7
1972,Comilla,7,206,7
1972,Comilla,8,385,7
1972,Comilla,9,69,7
1972,Comilla,10,57,7
1972,Comilla,11,1,7
1972,Comilla,12,0,7
1972,CoxsBazar,1,0,8
1972,CoxsBazar,2,4,8
1972,CoxsBazar,3,0,8
1972,CoxsBazar,4,52,8
1972,CoxsBazar,5,124,8
1972,CoxsBazar,6,288,8
1972,CoxsBazar,7,324,8
1972,CoxsBazar,8,839,8
1972,CoxsBazar,9,56,8
1972,CoxsBazar,10,440,8
1972,CoxsBazar,11,1,8
1972,CoxsBazar,12,0,8
1972,Dhaka,1,0,9
1972,Dhaka,2,11,9
1972,Dhaka,3,12,9
1972,Dhaka,4,248,9
1972,Dhaka,5,340,9
1972,Dhaka,6,353,9
1972,Dhaka,7,249,9
1972,Dhaka,8,380,9
1972,Dhaka,9,110,9
1972,Dhaka,10,105,9
1972,Dhaka,11,0,9
1972,Dhaka,12,0,9
1972,Dinajpur,1,0,10
1972,Dinajpur,2,0,10
1972,Dinajpur,3,4,10
1972,Dinajpur,4,0,10
1972,Dinajpur,5,0,10
1972,Dinajpur,6,171,10
1972,Dinajpur,7,257,10
1972,Dinajpur,8,371,10
1972,Dinajpur,9,130,10
1972,Dinajpur,10,52,10
1972,Dinajpur,11,0,10
1972,Dinajpur,12,0,10
1972,Faridpur,1,0,11
1972,Faridpur,2,70,11
1972,Faridpur,3,2,11
1972,Faridpur,4,177,11
1972,Faridpur,5,257,11
1972,Faridpur,6,246,11
1972,Faridpur,7,203,11
1972,Faridpur,8,366,11
1972,Faridpur,9,259,11
1972,Faridpur,10,62,11
1972,Faridpur,11,0,11
1972,Faridpur,12,0,11
1972,Ishurdi,1,0,14
1972,Ishurdi,2,0,14
1972,Ishurdi,3,0,14
1972,Ishurdi,4,27,14
1972,Ishurdi,5,130,14
1972,Ishurdi,6,159,14
1972,Ishurdi,7,217,14
1972,Ishurdi,8,228,14
1972,Ishurdi,9,138,14
1972,Ishurdi,10,45,14
1972,Ishurdi,11,0,14
1972,Ishurdi,12,0,14
1972,Jessore,1,0,15
1972,Jessore,2,4,15
1972,Jessore,3,7,15
1972,Jessore,4,37,15
1972,Jessore,5,22,15
1972,Jessore,6,110,15
1972,Jessore,7,169,15
1972,Jessore,8,372,15
1972,Jessore,9,131,15
1972,Jessore,10,17,15
1972,Jessore,11,1,15
1972,Jessore,12,0,15
1972,Khulna,1,0,17
1972,Khulna,2,0,17
1972,Khulna,3,0,17
1972,Khulna,4,64,17
1972,Khulna,5,121,17
1972,Khulna,6,0,17
1972,Khulna,7,137,17
1972,Khulna,8,0,17
1972,Khulna,9,0,17
1972,Khulna,10,0,17
1972,Khulna,11,0,17
1972,Khulna,12,0,17
1972,M.court,1,0,19
1972,M.court,2,59,19
1972,M.court,3,10,19
1972,M.court,4,46,19
1972,M.court,5,123,19
1972,M.court,6,470,19
1972,M.court,7,454,19
1972,M.court,8,722,19
1972,M.court,9,73,19
1972,M.court,10,88,19
1972,M.court,11,6,19
1972,M.court,12,0,19
1972,Mymensingh,1,0,22
1972,Mymensingh,2,20,22
1972,Mymensingh,3,35,22
1972,Mymensingh,4,89,22
1972,Mymensingh,5,127,22
1972,Mymensingh,6,625,22
1972,Mymensingh,7,418,22
1972,Mymensingh,8,130,22
1972,Mymensingh,9,204,22
1972,Mymensingh,10,6,22
1972,Mymensingh,11,0,22
1972,Mymensingh,12,0,22
1972,Rajshahi,1,10,24
1972,Rajshahi,2,13,24
1972,Rajshahi,3,0,24
1972,Rajshahi,4,19,24
1972,Rajshahi,5,88,24
1972,Rajshahi,6,208,24
1972,Rajshahi,7,109,24
1972,Rajshahi,8,248,24
1972,Rajshahi,9,175,24
1972,Rajshahi,10,51,24
1972,Rajshahi,11,0,24
1972,Rajshahi,12,0,24
1972,Rangamati,1,0,25
1972,Rangamati,2,2,25
1972,Rangamati,3,0,25
1972,Rangamati,4,37,25
1972,Rangamati,5,105,25
1972,Rangamati,6,450,25
1972,Rangamati,7,315,25
1972,Rangamati,8,309,25
1972,Rangamati,9,100,25
1972,Rangamati,10,53,25
1972,Rangamati,11,4,25
1972,Rangamati,12,0,25
1972,Rangpur,1,4,26
1972,Rangpur,2,42,26
1972,Rangpur,3,53,26
1972,Rangpur,4,31,26
1972,Rangpur,5,100,26
1972,Rangpur,6,239,26
1972,Rangpur,7,325,26
1972,Rangpur,8,0,26
1972,Rangpur,9,201,26
1972,Rangpur,10,118,26
1972,Rangpur,11,1,26
1972,Rangpur,12,0,26
1972,Sandwip,1,0,27
1972,Sandwip,2,16,27
1972,Sandwip,3,14,27
1972,Sandwip,4,45,27
1972,Sandwip,5,253,27
1972,Sandwip,6,1055,27
1972,Sandwip,7,624,27
1972,Sandwip,8,1029,27
1972,Sandwip,9,148,27
1972,Sandwip,10,326,27
1972,Sandwip,11,3,27
1972,Sandwip,12,0,27
1972,Satkhira,1,0,28
1972,Satkhira,2,15,28
1972,Satkhira,3,0,28
1972,Satkhira,4,8,28
1972,Satkhira,5,0,28
1972,Satkhira,6,0,28
1972,Satkhira,7,0,28
1972,Satkhira,8,0,28
1972,Satkhira,9,0,28
1972,Satkhira,10,0,28
1972,Satkhira,11,0,28
1972,Satkhira,12,0,28
1972,Srimangal,1,0,30
1972,Srimangal,2,42,30
1972,Srimangal,3,90,30
1972,Srimangal,4,234,30
1972,Srimangal,5,269,30
1972,Srimangal,6,0,30
1972,Srimangal,7,447,30
1972,Srimangal,8,202,30
1972,Srimangal,9,191,30
1972,Srimangal,10,36,30
1972,Srimangal,11,2,30
1972,Srimangal,12,0,30
1972,Sylhet,1,4,31
1972,Sylhet,2,40,31
1972,Sylhet,3,110,31
1972,Sylhet,4,445,31
1972,Sylhet,5,384,31
1972,Sylhet,6,829,31
1972,Sylhet,7,826,31
1972,Sylhet,8,479,31
1972,Sylhet,9,353,31
1972,Sylhet,10,302,31
1972,Sylhet,11,0,31
1972,Sylhet,12,0,31
1973,Barisal,1,0,2
1973,Barisal,2,12,2
1973,Barisal,3,81,2
1973,Barisal,4,42,2
1973,Barisal,5,508,2
1973,Barisal,6,502,2
1973,Barisal,7,392,2
1973,Barisal,8,266,2
1973,Barisal,9,398,2
1973,Barisal,10,308,2
1973,Barisal,11,171,2
1973,Barisal,12,197,2
1973,Bhola,1,0,3
1973,Bhola,2,0,3
1973,Bhola,3,99,3
1973,Bhola,4,53,3
1973,Bhola,5,500,3
1973,Bhola,6,0,3
1973,Bhola,7,445,3
1973,Bhola,8,305,3
1973,Bhola,9,0,3
1973,Bhola,10,0,3
1973,Bhola,11,197,3
1973,Bhola,12,151,3
1973,Bogra,1,12,4
1973,Bogra,2,63,4
1973,Bogra,3,10,4
1973,Bogra,4,95,4
1973,Bogra,5,259,4
1973,Bogra,6,835,4
1973,Bogra,7,350,4
1973,Bogra,8,194,4
1973,Bogra,9,584,4
1973,Bogra,10,60,4
1973,Bogra,11,27,4
1973,Bogra,12,27,4
1973,Chandpur,1,0,5
1973,Chandpur,2,0,5
1973,Chandpur,3,0,5
1973,Chandpur,4,54,5
1973,Chandpur,5,454,5
1973,Chandpur,6,182,5
1973,Chandpur,7,489,5
1973,Chandpur,8,53,5
1973,Chandpur,9,205,5
1973,Chandpur,10,157,5
1973,Chandpur,11,0,5
1973,Chandpur,12,0,5
1973,Chittagong,1,5,6
1973,Chittagong,2,8,6
1973,Chittagong,3,14,6
1973,Chittagong,4,142,6
1973,Chittagong,5,457,6
1973,Chittagong,6,407,6
1973,Chittagong,7,407,6
1973,Chittagong,8,276,6
1973,Chittagong,9,551,6
1973,Chittagong,10,225,6
1973,Chittagong,11,259,6
1973,Chittagong,12,40,6
1973,Comilla,1,10,7
1973,Comilla,2,30,7
1973,Comilla,3,53,7
1973,Comilla,4,72,7
1973,Comilla,5,445,7
1973,Comilla,6,489,7
1973,Comilla,7,332,7
1973,Comilla,8,138,7
1973,Comilla,9,127,7
1973,Comilla,10,198,7
1973,Comilla,11,160,7
1973,Comilla,12,0,7
1973,CoxsBazar,1,3,8
1973,CoxsBazar,2,4,8
1973,CoxsBazar,3,2,8
1973,CoxsBazar,4,6,8
1973,CoxsBazar,5,496,8
1973,CoxsBazar,6,790,8
1973,CoxsBazar,7,874,8
1973,CoxsBazar,8,463,8
1973,CoxsBazar,9,382,8
1973,CoxsBazar,10,242,8
1973,CoxsBazar,11,248,8
1973,CoxsBazar,12,13,8
1973,Dhaka,1,0,9
1973,Dhaka,2,21,9
1973,Dhaka,3,32,9
1973,Dhaka,4,131,9
1973,Dhaka,5,621,9
1973,Dhaka,6,414,9
1973,Dhaka,7,0,9
1973,Dhaka,8,238,9
1973,Dhaka,9,348,9
1973,Dhaka,10,128,9
1973,Dhaka,11,64,9
1973,Dhaka,12,86,9
1973,Faridpur,1,0,11
1973,Faridpur,2,9,11
1973,Faridpur,3,40,11
1973,Faridpur,4,250,11
1973,Faridpur,5,486,11
1973,Faridpur,6,431,11
1973,Faridpur,7,203,11
1973,Faridpur,8,472,11
1973,Faridpur,9,397,11
1973,Faridpur,10,207,11
1973,Faridpur,11,60,11
1973,Faridpur,12,44,11
1973,Hatiya,1,0,13
1973,Hatiya,2,0,13
1973,Hatiya,3,0,13
1973,Hatiya,4,0,13
1973,Hatiya,5,384,13
1973,Hatiya,6,335,13
1973,Hatiya,7,251,13
1973,Hatiya,8,366,13
1973,Hatiya,9,385,13
1973,Hatiya,10,135,13
1973,Hatiya,11,319,13
1973,Hatiya,12,54,13
1973,Ishurdi,1,25,14
1973,Ishurdi,2,42,14
1973,Ishurdi,3,27,14
1973,Ishurdi,4,100,14
1973,Ishurdi,5,470,14
1973,Ishurdi,6,531,14
1973,Ishurdi,7,186,14
1973,Ishurdi,8,276,14
1973,Ishurdi,9,563,14
1973,Ishurdi,10,181,14
1973,Ishurdi,11,27,14
1973,Ishurdi,12,58,14
1973,Jessore,1,0,15
1973,Jessore,2,10,15
1973,Jessore,3,75,15
1973,Jessore,4,32,15
1973,Jessore,5,263,15
1973,Jessore,6,361,15
1973,Jessore,7,214,15
1973,Jessore,8,224,15
1973,Jessore,9,226,15
1973,Jessore,10,131,15
1973,Jessore,11,45,15
1973,Jessore,12,97,15
1973,Khulna,1,0,17
1973,Khulna,2,0,17
1973,Khulna,3,0,17
1973,Khulna,4,22,17
1973,Khulna,5,373,17
1973,Khulna,6,250,17
1973,Khulna,7,107,17
1973,Khulna,8,110,17
1973,Khulna,9,39,17
1973,Khulna,10,0,17
1973,Khulna,11,0,17
1973,Khulna,12,4,17
1973,M.court,1,0,19
1973,M.court,2,4,19
